"new.names";"old.names"
"L314D_R2.fastq.gz";"LR035_R2.fastq.gz"
"L315D_R1.fastq.gz";"LR036_R1.fastq.gz"
"L315D_R2.fastq.gz";"LR036_R2.fastq.gz"
"L316D_R1.fastq.gz";"LR037_R1.fastq.gz"
"L316D_R2.fastq.gz";"LR037_R2.fastq.gz"
"L317D_R1.fastq.gz";"LR038_R1.fastq.gz"
"L317D_R2.fastq.gz";"LR038_R2.fastq.gz"
"L318D_R1.fastq.gz";"LR039_R1.fastq.gz"
"L318D_R2.fastq.gz";"LR039_R2.fastq.gz"
"L319D_R1.fastq.gz";"LR040_R1.fastq.gz"
"L319D_R2.fastq.gz";"LR040_R2.fastq.gz"
"L320D_R1.fastq.gz";"LR041_R1.fastq.gz"
"L320D_R2.fastq.gz";"LR041_R2.fastq.gz"
"WELL1D_R1.fastq.gz";"LR042_R1.fastq.gz"
"WELL1D_R2.fastq.gz";"LR042_R2.fastq.gz"
"WELL2D_R1.fastq.gz";"LR043_R1.fastq.gz"
"WELL2D_R2.fastq.gz";"LR043_R2.fastq.gz"
"WELL3D_R1.fastq.gz";"LR044_R1.fastq.gz"
"WELL3D_R2.fastq.gz";"LR044_R2.fastq.gz"
"WELL4D_R1.fastq.gz";"LR045_R1.fastq.gz"
"WELL4D_R2.fastq.gz";"LR045_R2.fastq.gz"
"M01D_R1.fastq.gz";"LR046_R1.fastq.gz"
"M01D_R2.fastq.gz";"LR046_R2.fastq.gz"
"M02D_R1.fastq.gz";"LR047_R1.fastq.gz"
"M02D_R2.fastq.gz";"LR047_R2.fastq.gz"
"M03D_R1.fastq.gz";"LR048_R1.fastq.gz"
"M03D_R2.fastq.gz";"LR048_R2.fastq.gz"
"M04D_R1.fastq.gz";"LR049_R1.fastq.gz"
"M04D_R2.fastq.gz";"LR049_R2.fastq.gz"
"M05D_R1.fastq.gz";"LR050_R1.fastq.gz"
"M05D_R2.fastq.gz";"LR050_R2.fastq.gz"
"M06D_R1.fastq.gz";"LR051_R1.fastq.gz"
"M06D_R2.fastq.gz";"LR051_R2.fastq.gz"
"M07D_R1.fastq.gz";"LR052_R1.fastq.gz"
"M07D_R2.fastq.gz";"LR052_R2.fastq.gz"
"M08D_R1.fastq.gz";"LR053_R1.fastq.gz"
"M08D_R2.fastq.gz";"LR053_R2.fastq.gz"
"M08DSeq_R1.fastq.gz";"LR053d_R1.fastq.gz"
"M08DSeq_R2.fastq.gz";"LR053d_R2.fastq.gz"
"SWPR01D_R1.fastq.gz";"LR054_R1.fastq.gz"
"SWPR01D_R2.fastq.gz";"LR054_R2.fastq.gz"
"SWPR02D_R1.fastq.gz";"LR055_R1.fastq.gz"
"SWPR02D_R2.fastq.gz";"LR055_R2.fastq.gz"
"SWPR02DSeq_R1.fastq.gz";"LR055d_R1.fastq.gz"
"SWPR02DSeq_R2.fastq.gz";"LR055d_R2.fastq.gz"
"SWPR03D_R1.fastq.gz";"LR056_R1.fastq.gz"
"SWPR03D_R2.fastq.gz";"LR056_R2.fastq.gz"
"SWPR04D_R1.fastq.gz";"LR057_R1.fastq.gz"
"SWPR04D_R2.fastq.gz";"LR057_R2.fastq.gz"
"SWPR05D_R1.fastq.gz";"LR058_R1.fastq.gz"
"SWPR05D_R2.fastq.gz";"LR058_R2.fastq.gz"
"SWPR06D_R1.fastq.gz";"LR059_R1.fastq.gz"
"SWPR06D_R2.fastq.gz";"LR059_R2.fastq.gz"
"SWPR07D_R1.fastq.gz";"LR060_R1.fastq.gz"
"SWPR07D_R2.fastq.gz";"LR060_R2.fastq.gz"
"SWPR08D_R1.fastq.gz";"LR061_R1.fastq.gz"
"SWPR08D_R2.fastq.gz";"LR061_R2.fastq.gz"
"SWPR09D_R1.fastq.gz";"LR062_R1.fastq.gz"
"SWPR09D_R2.fastq.gz";"LR062_R2.fastq.gz"
"SWPR10D_R1.fastq.gz";"LR063_R1.fastq.gz"
"SWPR10D_R2.fastq.gz";"LR063_R2.fastq.gz"
"SWLR01D_R1.fastq.gz";"LR064_R1.fastq.gz"
"SWLR01D_R2.fastq.gz";"LR064_R2.fastq.gz"
"SWLR02D_R1.fastq.gz";"LR065_R1.fastq.gz"
"SWLR02D_R2.fastq.gz";"LR065_R2.fastq.gz"
"SWLR03D_R1.fastq.gz";"LR066_R1.fastq.gz"
"SWLR03D_R2.fastq.gz";"LR066_R2.fastq.gz"
"SWLR04D_R1.fastq.gz";"LR067_R1.fastq.gz"
"SWLR04D_R2.fastq.gz";"LR067_R2.fastq.gz"
